team,name,location,date,website
Coast 27/28,Lucky Draw,"Richmond, VA",19-20 OCT,https://mylacrossetournaments.com/event/lucky-draw/
Coast 27/28,Rivalry Challenge,"Annapolis, MD",9 Nov,https://www.navyrivalrychallenge.com/
Coast 27/28,Midatlantic Showcase,"Baltimore, MD (Multiple Locations)",15-16 NOV,https://robinsonsportsinc.com/midatlantic-showcase/
Coast 29/30,Lucky Draw,"Richmond, VA",25-26 OCT,https://mylacrossetournaments.com/event/lucky-draw/
Coast 29/30,Rivalry Challenge,"Annapolis, MD",9 Nov,https://www.navyrivalrychallenge.com/
Coast 29/30,Midatlantic Showcase,"Baltimore, MD (Multiple Locations)",15-16 NOV,https://robinsonsportsinc.com/midatlantic-showcase/
Coast 33/34,NC Lax Fest,"Greensboro, NC",11-12 OCT,https://www.cemevents.com/nc-laxfest-girls.html
Coast 31/32,Lucky Draw,"Richmond, VA",25-26 OCT,https://mylacrossetournaments.com/event/lucky-draw/
Coast 31/32,Rivalry Challenge,"Annapolis, MD",8 Nov,https://www.navyrivalrychallenge.com/
Coast 33/34,NC Lax Fest,"Greensboro, NC",11-12 OCT,https://www.cemevents.com/nc-laxfest-girls.html
Coast 33/34,Lucky Draw,"Richmond, VA",25-26 OCT,https://mylacrossetournaments.com/event/lucky-draw/
Coast 33/34,Playday with Team 91 VA,"Richmond, VA",1 NOV or 2 NOV *TBD,